date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,code,,"IFERROR(VALUE(B2&""0""),B2&""0"")"
,2792,,,,,27920,,
,7921,,,,,79210,,
,8227,,,,,82270,,
,192A,,,,,192A0,,
,2354,,,,,23540,,
,2685,,,,,26850,,
,2935,,,,,29350,,
,2975,,,,,29750,,
,3089,,,,,30890,,
,6083,,,,,60830,,
,7485,,,,,74850,,
,7965,,,,,79650,,
,8217,,,,,82170,,
,9265,,,,,92650,,
,9369,,,,,93690,,
,9651,,,,,96510,,
,3607,,,,,36070,,
,5942,,,,,59420,,
,6664,,,,,66640,,
,7447,,,,,74470,,
,7545,,,,,75450,,
,1712,,,,,17120,,
,2493,,,,,24930,,
,2809,,,,,28090,,
,2830,,,,,28300,,
,3035,,,,,30350,,
,3498,,,,,34980,,
,3549,,,,,35490,,
,6469,,,,,64690,,
,8016,,,,,80160,,
,8276,,,,,82760,,
,9793,,,,,97930,,
,9872,,,,,98720,,
,1376,,,,,13760,,
,2753,,,,,27530,,
,3321,,,,,33210,,
,3377,,,,,33770,,
,3612,,,,,36120,,
,4394,,,,,43940,,
,6093,,,,,60930,,
,6279,,,,,62790,,
,6506,,,,,65060,,
,7870,,,,,78700,,
,7975,,,,,79750,,
,8931,,,,,89310,,
,9842,,,,,98420,,
