date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,code
,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ,130A,,,,130A0
,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,135A,,,,135A0
,Ｃｏｃｏｌｉｖｅ,137A,,,,137A0
,秋川牧園,1380,,,,13800
,アクシーズ,1381,,,,13810
,ホーブ,1382,,,,13820
,ベルグアース,1383,,,,13830
,ホクリヨウ,1384,,,,13840
,光フードサービス,138A,,,,138A0
,エムビーエス,1401,,,,14010
,ウエストＨＬＤＧ,1407,,,,14070
,インターライフＨＬＤＧ,1418,,,,14180
,トライアルＨＬＤＧ,141A,,,,141A0
,サンヨーホームズ,1420,,,,14200
,日本アクア,1429,,,,14290
,ジンジブ,142A,,,,142A0
,ファーストコーポレーション,1430,,,,14300
,Ｌｉｂ　Ｗｏｒｋ,1431,,,,14310
,ベステラ,1433,,,,14330
,ＪＥＳＣＯ　ＨＬＤＧ,1434,,,,14340
,グリーンエナジー＆カンパニー,1436,,,,14360
,岐阜造園,1438,,,,14380
,イシン,143A,,,,143A0
,技研ＨＬＤＧ,1443,,,,14430
,ニッソウ,1444,,,,14440
,キャンディル,1446,,,,14460
,ＳＡＡＦＨＬＤＧ,1447,,,,14470
,ＴＡＮＡＫＥＮ,1450,,,,14500
,Ｌ　ｉｓ　Ｂ,145A,,,,145A0
,コロンビア・ワークス,146A,,,,146A0
,ソラコム,147A,,,,147A0
,ハッチ・ワーク,148A,,,,148A0
,中外鉱業,1491,,,,14910
,シンカ,149A,,,,149A0
,ＪＳＨ,150A,,,,150A0
,ダイブ,151A,,,,151A0
,カウリス,153A,,,,153A0
,情報戦略テクノロジー,155A,,,,155A0
,マテリアルグループ,156A,,,,156A0
,グリーンモンスター,157A,,,,157A0
,アズパートナーズ,160A,,,,160A0
,ＳＢＩレオスひふみ,165A,,,,165A0
,タスキＨＬＤＧ,166A,,,,166A0
,イタミアート,168A,,,,168A0
,ＳＤＳＨＬＤＧ,1711,,,,17110
,ダイセキ環境ソリューション,1712,,,,17120
,明豊ファシリティワークス,1717,,,,17170
,美樹工業,1718,,,,17180
,日本電技,1723,,,,17230
,シンクレイヤ,1724,,,,17240
,オーテック,1736,,,,17360
,ハンモック,173A,,,,173A0
,コーアツ工業,1743,,,,17430
,創建エース,1757,,,,17570
,太洋基礎工業,1758,,,,17580
,Ｗｉｌｌ　Ｓｍａｒｔ,175A,,,,175A0
,工藤建設,1764,,,,17640
,ソネック,1768,,,,17680
,レジル,176A,,,,176A0
,藤田エンジニアリング,1770,,,,17700
,ワイ・ティー・エル,1773,,,,17730
,三井住建道路,1776,,,,17760
,コージンバイオ,177A,,,,177A0
,ｆａｎｔａｓｉｓｔａ,1783,,,,17830
,ナカボーテック,1787,,,,17870
,三東工業社,1788,,,,17880
,大本組,1793,,,,17930
,マサル,1795,,,,17950
,守谷商会,1798,,,,17980
,第一建設工業,1799,,,,17990
,佐藤渡辺,1807,,,,18070
,錢高組,1811,,,,18110
,大末建設,1814,,,,18140
,佐田建設,1826,,,,18260
,ナカノフドー建設,1827,,,,18270
,田辺工業,1828,,,,18280
,土屋ＨＬＤＧ,1840,,,,18400
,サンユー建設,1841,,,,18410
,大盛工業,1844,,,,18440
,イチケン,1847,,,,18470
,富士ピー・エス,1848,,,,18480
,学びエイド,184A,,,,184A0
,南海辰村建設,1850,,,,18500
,森組,1853,,,,18530
,北野建設,1866,,,,18660
,植木組,1867,,,,18670
,アストロスケールＨＬＤＧ,186A,,,,186A0
,金下建設,1897,,,,18970
,Ｄ＆Ｍカンパニー,189A,,,,189A0
,大成温調,1904,,,,19040
,テノックス,1905,,,,19050
,日本ドライケミカル,1909,,,,19090
,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ,190A,,,,190A0
,日本基礎技術,1914,,,,19140
,巴コーポレーション,1921,,,,19210
,インテグループ,192A,,,,192A0
,弘電社,1948,,,,19480
,ＷＯＬＶＥＳ　ＨＡＮＤ,194A,,,,194A0
,ＭＵＳＣＡＴ　ＧＲＯＵＰ,195A,,,,195A0
,サンテック,1960,,,,19600
,テクノ菱和,1965,,,,19650
,高田工業所,1966,,,,19660
,ヤマト,1967,,,,19670
,ＭＦＳ,196A,,,,196A0
,三晃金属工業,1972,,,,19720
,タウンズ,197A,,,,197A0
,協和日成,1981,,,,19810
,ＰｏｓｔＰｒｉｍｅ,198A,,,,198A0
,神田通信機,1992,,,,19920
,高橋カーテンウォール工業,1994,,,,19940
,暁飯島工業,1997,,,,19970
,鳥越製粉,2009,,,,20090
,豆蔵デジタルＨＬＤＧ,202A,,,,202A0
,日和産業,2055,,,,20550
,ロゴスＨＬＤＧ,205A,,,,205A0
,ＰＲＩＳＭ　ＢｉｏＬａｂ,206A,,,,206A0
,構造計画研究所ＨＬＤＧ,208A,,,,208A0
,塩水港精糖,2112,,,,21120
,フジ日本,2114,,,,21140
,カドス,211A,,,,211A0
,インタースペース,2122,,,,21220
,フィットイージー,212A,,,,212A0
,北浜キャピタルパートナーズ,2134,,,,21340
,ヒップ,2136,,,,21360
,クルーズ,2138,,,,21380
,中広,2139,,,,21390
,幼児活動研究会,2152,,,,21520
,セーラー広告,2156,,,,21560
,ＦＲＯＮＴＥＯ,2158,,,,21580
,タイミー,215A,,,,215A0
,ジーエヌアイグループ,2160,,,,21600
,ｎｍｓ　ＨＬＤＧ,2162,,,,21620
,アルトナー,2163,,,,21630
,地域新聞社,2164,,,,21640
,ＣＤＳ,2169,,,,21690
,博展,2173,,,,21730
,成学社,2179,,,,21790
,サニーサイドアップグループ,2180,,,,21800
,リニカル,2183,,,,21830
,シイエム・シイ,2185,,,,21850
,ソーバル,2186,,,,21860
,Ｌｉｂｅｒａｗａｒｅ,218A,,,,218A0
,アミタＨＬＤＧ,2195,,,,21950
,エスクリ,2196,,,,21960
,アイ・ケイ・ケイＨＬＤＧ,2198,,,,21980
,Ｈｅａｒｔｓｅｅｄ,219A,,,,219A0
,ブルボン,2208,,,,22080
,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,220A,,,,220A0
,第一屋製パン,2215,,,,22150
,カンロ,2216,,,,22160
,岩塚製菓,2221,,,,22210
,コモ,2224,,,,22240
,湖池屋,2226,,,,22260
,Ｂ―Ｒ　サーティワン　アイス,2268,,,,22680
,林兼産業,2286,,,,22860
,オプロ,228A,,,,228A0
,福留ハム,2291,,,,22910
,滝沢ハム,2293,,,,22930
,きょくとう,2300,,,,23000
,ドーン,2303,,,,23030
,ＣＳＳ　ＨＬＤＧ,2304,,,,23040
,エプコ,2311,,,,23110
,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,2315,,,,23150
,ソフトフロントＨＬＤＧ,2321,,,,23210
,ｆｏｎｆｕｎ,2323,,,,23230
