stock_code,company_name,success_files
14330,,1
14360,,1
18730,,1
19280,,1
19600,,1
215A0,,1
21630,,1
21980,,1
219A0,,1
22170,,1
22940,,1
23010,,1
23750,,1
24380,,1
25850,,1
25900,,1
25930,,1
25940,,1
27510,,1
27760,,1
29100,,1
29230,,1
29290,,1
29830,,1
30310,,1
30380,,1
30700,,41
30710,,1
31720,,1
31800,,1
32460,,1
32480,,1
33290,,1
33610,,1
34390,,2
34910,,1
350A0,,1
36350,,1
36620,,1
37330,,1
38160,,1
38540,,1
39550,,1
40260,,1
41250,,15
41940,,1
42380,,1
43340,,1
43690,,1
43820,,1
44220,,1
44410,,1
44610,,1
45990,,1
46270,,1
47070,,1
47500,,1
48800,,1
49340,,1
49960,,1
50310,,1
50320,,1
50740,,18
51320,,1
51340,,1
58890,,1
59710,,1
61370,,1
61840,,1
62670,,1
63360,,1
63870,,1
65350,,1
65770,,1
65780,,2
66190,,1
66540,,1
66620,,1
66960,,1
67570,,1
67780,,1
68980,,1
69660,,1
70640,,1
70950,,1
71160,,5
71310,,1
71960,,1
72650,,1
72790,,1
73830,,1
74350,,1
75500,,1
75900,,1
75960,,1
76040,,1
76050,,1
76400,,1
76780,,1
76820,,1
77740,,41
77770,,1
78040,,1
78560,,1
78650,,1
80570,,1
81420,,1
88870,,1
89170,,1
89270,,1
89280,,1
90900,,1
91630,,1
92360,,1
94250,,1
95650,,1
96270,,1
96320,,1
96360,,1
96780,,1
96920,,1
98240,,1
